objectid,filename,title,creator,description,location,date(created),date(added),subject,filesize,format,file mod date,rights,,,,,,,,,,
aa0000,aa0000.pdf,The History of Herodotus; Volume One,Herodotus,"Written in 440 BC in the Ionic dialect of classical Greek, The Histories serves as a record of the ancient traditions, politics, geography, and clashes of various cultures that were known in Western Asia, Northern Africa and Greece at that time. Although not a fully impartial record, it remains one of the West's most important sources regarding these affairs.",Greece; Northern Africa; Western Asia; Persia; Egypt; Eastern Mediterranean,0440-BC,2026-04-13,Ancient Greece; Tyranny; Democracy; Oligarchy; Monarchy; History,3024 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0001,aa0001.pdf,The History of Herodotus; Volume Two,Herodotus,"Written in 440 BC in the Ionic dialect of classical Greek, The Histories serves as a record of the ancient traditions, politics, geography, and clashes of various cultures that were known in Western Asia, Northern Africa and Greece at that time. Although not a fully impartial record, it remains one of the West's most important sources regarding these affairs.",Greece; Northern Africa; Western Asia; Persia; Egypt; Eastern Mediterranean,0440-BC,2026-04-13,Ancient Greece; Tyranny; Democracy; Oligarchy; Monarchy; History,2903 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0002,aa0002.pdf,The Republic of Cicero,"Cicero, Marcus Tullius ","“The Republic” is a dialogue on Roman politics, written in six books between 54 and 51 BC. It is written in the format of a Socratic dialogue in which Scipio Aemilianus (who had died a few decades before Cicero was born) takes the role of a wise old man — a typical feature of the genre. Cicero's treatise was politically controversial: by choosing the format of a philosophical dialogue he avoided naming his political adversaries directly.",Rome; Italy; Mediterranean; Europe,0051-BC,2026-04-13,Roman Republic; Democracy; Politics,746 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0003,aa0003.pdf,The City of God; Volume One,"Saint Augustine, Bishop of Hippo","Saint Augustine, bishop of Hippo, was one of the central figures in the history of Christianity, and City of God is one of his greatest theological works. Written as an eloquent defence of the faith at a time when the Roman Empire was on the brink of collapse, it examines the ancient pagan religions of Rome, the arguments of the Greek philosophers and the revelations of the Bible. Pointing the way forward to a citizenship that transcends the best political experiences of the world and offers citizenship that will last for eternity, City of God is one of the most influential documents in the development of Christianity",Algeria; North Africa; Mediterranean,0426-AD,2026-04-13,Late Antiquity; Theology; Politics,4135 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0004,aa0004.pdf,The City of God; Volume Two,"Saint Augustine, Bishop of Hippo","Saint Augustine, bishop of Hippo, was one of the central figures in the history of Christianity, and City of God is one of his greatest theological works. Written as an eloquent defence of the faith at a time when the Roman Empire was on the brink of collapse, it examines the ancient pagan religions of Rome, the arguments of the Greek philosophers and the revelations of the Bible. Pointing the way forward to a citizenship that transcends the best political experiences of the world and offers citizenship that will last for eternity, City of God is one of the most influential documents in the development of Christianity",Algeria; North Africa; Mediterranean,0426-AD,2026-04-13,Late Antiquity; Theology; Politics,8113 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0005,aa0005.pdf,Second Treatise of Government,"Locke, John","As one of the early Enlightenment philosophers in England, John Locke sought to bring reason and critical intelligence to the discussion of the origins of civil society.Endeavoring to reconstruct the nature and purpose of government, a social contract theory is proposed. The Second Treatise sets forth a detailed discussion of how civil society came to be and the nature of its inception.",England; Europe; United Kingdom,1690-AD,2026-04-13,Early Modern; Classical Liberalism; Poltical Theory; Liberty,730 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0006,aa0006.pdf,Leviathan,"Hobbes, Thomas","Written during the turmoil of the English Civil War, Leviathan is an ambitious and highly original work of political philosophy. Claiming that man's essential nature is competitive and selfish, Hobbes formulates the case for a powerful sovereign—or ""Leviathan""—to enforce peace and the law, substituting security for the anarchic freedom he believed human beings would otherwise experience.",England; Europe; United Kingdom,1651-AD,2026-04-13,Early Modern; Classical Liberalism; Poltical Theory; Liberty,3245 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0007,aa0007.pdf,The Prince,"Machiavelli, Nicolo","""The Prince"" by Niccolò Machiavelli is a political treatise written in 1513 and published in 1532. Presented as an instruction guide for new rulers, this controversial work suggests that immoral acts may be necessary to achieve political power and glory.","Italy, Europe",1532-AD,2026-04-13,Early Modern; Political Theory,806 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0008,aa0008.pdf,The Analects of Confucius,Confucius,"""The Analects of Confucius (from the Chinese Classics)"" by Confucius is an ancient Chinese philosophical text compiled during the Warring States period (475–221 BC) and finalized in the mid-Han dynasty. This collection of sayings and conversations captures Confucius's teachings on moral cultivation, virtue, and leadership. Through concepts like ren (virtue), filial piety, and li (ritual propriety), Confucius outlines how individuals and rulers can achieve ethical excellence.","China, Asia",0221-BC,2026-04-13,"Antiquity, Leadership",463 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
aa0009,aa0009.pdf,The Federalist Papers,"Hamilton, Alexander; Jay, John; Madison, James","The Federalist Papers"" by Alexander Hamilton, John Jay, and James Madison is a collection of 85 essays written between 1787-1788. Published under the pseudonym ""Publius,"" these articles aimed to persuade New York voters to ratify the newly proposed Constitution. The essays tackle fundamental questions about republican government, from preventing majority tyranny to establishing checks and balances.","North America, United States of America",1788-AD,2026-04-13,Modern Period; Freedom; Democracy; Equality; Republicanism,2376 KB,application/pdf,2026-04-13,Public domain,,,,,,,,,,
